angDist,#,main_id,main_type,other_types,sp_type
0.030141,1537,HD 110432,Be*,*iC|V* |Be*|HXB|*  |Be*|V* |HXB|IR |X  |UV |Em*|gam,B0.5IVpe
0.907559,1538,V* BQ Cru,Be*,Em*|*  |*iC|IR |V* |Be*,Be
0.064076,1539,HD 110625,Be*,Be*|Em*|*  |IR,B8/9(III)
0.038955,1540,HD 110699,Be*,Be*|Be*|Em*|*  |IR,B6Vne
0.021384,1541,HD 110863,Be*,Er*|** |*iC|*  |*  |Be*|V* |Em*|IR,B2II/III
0.045639,1542,HD 111054,Be*,*  |Be*|Em*|IR,B7III/V
0.059543,1543,HD 111077,Em*,*  |Em*|*  |IR,(B)e
0.237220,1544,HD 112028,Star,IR |*  |**,A1IV_sh
0.030094,1545,HD 111363,Be*,Be*|Em*|*  |UV |IR,B3III
0.041406,1546,HD 111408,Be*,*  |Be*|Em*|IR,B7IV
0.049606,1547,CPD-59  4546,Be*,Be*|V* |Em*|IR |*  |*iC,B2IVneHe-n
0.025831,1548,HD 111906,Be*,Be*|Em*|*  |IR,B3/5III/V
0.055633,1549,NGC  4755    19,Be*,*iC|IR |*  |Be*,B1.5Vnpe
0.346965,1550,CPD-59  4559,Be*,*  |*iC|V* |IR |Be*,B2IVne
0.056852,1551,HD 312101,Star,*  |IR,B8
0.052896,1552,* mu.02 Cru,Be*,Be*|Be*|*  |Be*|V* |HXB|IR |X  |** |Em*|gam,B5Vne
0.020019,1553,* lam Cru,Be*,Be*|*  |V* |IR |UV |Em*,B3Vne
0.021855,1554,HD 112107,Be*,Be*|Be*|Em*|*  |IR,B9.5Vne
0.011058,1555,HD 112147,Be*,*  |Be*|Em*|*  |IR,Be
0.023942,1556,HD 112512,Be*,Be*|Be*|Em*|*  |IR,B7Ve
0.087704,1557,THA 17-6,Em*,Em*|*  |IR,Be
0.021328,1558,HD 112825,Be*,IR |*  |Be*|Em*|*,B1/2IV/V
0.833556,1560,V* V850 Cen,HMXB,V* |HXB|HXB|Em*|V* |HXB|X  |gam|IR,B2Vne
0.060872,1561,CD-55  4911,EB*,EB*|IR |V* |Em*|Al*|V*?|*,Be
0.033758,1562,HD 112999,Be*,V* |Be*|V* |UV |*  |Be*|IR,B6V
